timestamp,wind_shear_mps,phase_correction_deg,ground_truth_elastic_deg,ground_truth_plastic_deg,source
2026-06-10T00:00:00,5.3202,0.1766,0.1788,0.0,simulated
2026-06-10T00:00:10,5.2699,0.3175,0.3201,0.0,simulated
2026-06-10T00:00:20,5.0892,0.4254,0.4271,0.0,simulated
2026-06-10T00:00:30,4.7984,0.5134,0.5029,0.0,simulated
2026-06-10T00:00:40,4.8447,0.5632,0.5651,0.0,simulated
2026-06-10T00:00:50,4.8188,0.5915,0.614,0.0,simulated
2026-06-10T00:01:00,4.8351,0.6586,0.6536,0.0,simulated
2026-06-10T00:01:10,4.9652,0.6857,0.6897,0.0,simulated
2026-06-10T00:01:20,4.7242,0.7073,0.7105,0.0,simulated
2026-06-10T00:01:30,4.4088,0.7183,0.7166,0.0,simulated
2026-06-10T00:01:40,4.3493,0.7229,0.7194,0.0,simulated
2026-06-10T00:01:50,4.3932,0.7406,0.7231,0.0,simulated
2026-06-10T00:02:00,4.4206,0.7369,0.727,0.0,simulated
2026-06-10T00:02:10,4.4306,0.7321,0.7305,0.0,simulated
2026-06-10T00:02:20,4.4801,0.7238,0.7349,0.0,simulated
2026-06-10T00:02:30,4.2668,0.7161,0.7313,0.0,simulated
2026-06-10T00:02:40,4.1389,0.7278,0.7241,0.0,simulated
2026-06-10T00:02:50,4.2415,0.7415,0.7218,0.0,simulated
2026-06-10T00:03:00,4.3353,0.7237,0.7231,0.0,simulated
2026-06-10T00:03:10,4.1933,0.7178,0.7194,0.0,simulated
2026-06-10T00:03:20,4.1979,0.7245,0.7166,0.0,simulated
2026-06-10T00:03:30,4.2904,0.6956,0.7174,0.0,simulated
2026-06-10T00:03:40,4.3571,0.7156,0.7203,0.0,simulated
2026-06-10T00:03:50,4.3991,0.7314,0.7241,0.0,simulated
2026-06-10T00:04:00,4.3204,0.7375,0.7244,0.0,simulated
2026-06-10T00:04:10,4.3668,0.7226,0.7263,0.0,simulated
2026-06-10T00:04:20,4.246,0.7293,0.7237,0.0,simulated
2026-06-10T00:04:30,4.0963,0.7203,0.7166,0.0,simulated
2026-06-10T00:04:40,4.1547,0.7246,0.7129,0.0,simulated
2026-06-10T00:04:50,4.2515,0.6964,0.7131,0.0,simulated
2026-06-10T00:05:00,4.061,0.7155,0.707,0.0,simulated
2026-06-10T00:05:10,3.9915,0.677,0.6997,0.0,simulated
2026-06-10T00:05:20,3.9961,0.6547,0.694,0.0,simulated
2026-06-10T00:05:30,4.0279,0.6814,0.6905,0.0,simulated
2026-06-10T00:05:40,4.0991,0.6764,0.6902,0.0,simulated
2026-06-10T00:05:50,4.3844,0.7126,0.6995,0.0,simulated
